Store #,# of McDonalds <1 mi,# of Subway <1 mi,# of Wendys <1 mi,# of Burger King <1 mi,# of Taco Bell <1 mi,# of McDonalds <0.5 mi,# of Subway <0.5 mi,# of Wendys <0.5 mi,# of Burger King <0.5 mi,# of Taco Bell <0.5 mi
7812,1,2,1,1,0,0,2,1,1,0
6636,1,2,1,1,0,1,1,1,1,0
7164,0,1,0,0,0,0,1,0,0,0
7915,1,0,1,0,0,0,0,1,0,0
1107,1,1,1,1,0,1,1,1,0,0
6549,1,1,1,1,1,1,0,1,1,1
5269,0,1,0,1,0,0,1,0,1,0
6991,0,0,0,0,0,0,0,0,0,0
1000,2,1,0,1,0,1,1,0,0,0
740,1,3,0,1,0,1,1,0,1,0
7523,1,1,1,0,0,0,0,1,0,0
8362,0,1,0,0,0,0,1,0,0,0
5377,1,1,0,0,0,1,1,0,0,0
7945,0,1,0,0,0,0,1,0,0,0
6142,0,1,0,1,0,0,1,0,1,0
7919,0,0,0,1,0,0,0,0,1,0
7347,1,1,1,1,1,1,1,1,0,1
5607,1,2,1,1,1,1,1,1,1,1
6408,2,1,0,1,1,2,1,0,0,1
7594,1,2,1,1,1,1,1,1,1,0
5735,1,2,0,1,0,0,1,0,0,0
6495,1,1,1,1,0,1,0,1,1,0
5567,1,0,0,0,0,0,0,0,0,0
429,1,1,1,0,0,0,0,0,0,0
7312,0,0,0,0,0,0,0,0,0,0
7742,1,0,1,0,0,1,0,1,0,0
1027,1,2,1,1,1,1,1,1,1,1
1438,1,0,1,1,1,0,0,1,0,0
6210,1,1,0,0,0,1,1,0,0,0
1879,1,1,0,1,0,1,1,0,1,0
5430,1,1,0,0,1,1,1,0,0,1
6353,1,2,1,1,1,1,1,1,1,1
1639,1,1,0,1,0,1,1,0,1,0
6631,1,1,1,1,0,0,0,1,1,0
6395,1,1,0,0,1,1,1,0,0,1
161,1,0,0,1,1,1,0,0,1,1
7385,0,2,0,1,1,0,1,0,0,0
773,2,3,1,0,1,1,1,0,0,1
431,1,1,0,1,0,0,0,0,0,0
5092,1,0,0,0,0,0,0,0,0,0
7872,1,1,0,0,0,0,1,0,0,0
7508,1,2,1,0,0,0,2,0,0,0
227,2,3,1,1,0,0,1,1,1,0
1878,1,1,1,1,1,0,0,0,1,0
7049,1,1,0,0,0,1,1,0,0,0
1095,1,2,0,1,1,0,1,0,1,1
7153,0,0,0,0,0,0,0,0,0,0
6404,1,2,1,1,1,1,0,1,1,1
5237,1,1,0,0,0,0,0,0,0,0
7211,0,0,1,0,0,0,0,0,0,0
1965,1,1,1,1,0,1,1,1,1,0
234,1,2,0,1,0,1,1,0,0,0
787,1,1,1,1,1,1,1,1,1,1
6733,1,1,0,1,1,1,1,0,1,0
5036,0,0,0,0,0,0,0,0,0,0
791,1,1,1,0,0,1,0,1,0,0
1527,0,0,0,0,0,0,0,0,0,0
794,1,1,1,0,1,1,1,1,0,1
7567,1,4,1,1,0,0,1,1,1,0
7432,1,1,1,0,0,1,1,1,0,0
899,1,1,1,0,2,1,1,1,0,1
7705,1,0,0,1,1,0,0,0,1,1
5851,1,2,1,0,1,1,2,1,0,1
1258,1,1,1,0,0,1,0,0,0,0
5302,1,2,1,0,1,1,1,1,0,0
5774,0,2,0,1,0,0,2,0,0,0
6771,1,2,1,1,0,0,1,1,1,0
1747,1,1,1,0,0,1,1,0,0,0
6729,1,0,0,0,0,0,0,0,0,0
5412,2,1,0,1,1,0,0,0,0,0
6222,1,1,1,1,0,0,1,0,1,0
7302,1,1,0,1,1,0,0,0,0,1
1217,0,1,1,0,0,0,0,1,0,0
1744,1,0,0,1,1,1,0,0,0,1
7102,1,1,1,0,1,0,1,0,0,0
5688,1,2,0,0,0,1,1,0,0,0
5838,1,1,0,0,0,1,0,0,0,0
7533,1,1,1,1,0,0,1,0,0,0
5315,1,2,1,0,0,1,1,1,0,0
6801,0,1,1,0,0,0,1,1,0,0
6098,1,1,1,0,0,1,1,1,0,0
84,1,1,1,1,1,1,1,1,1,1
785,1,3,1,1,1,1,1,1,1,1
1962,1,2,0,1,0,1,2,0,1,0
96,0,2,1,1,0,0,1,1,0,0
